High,Low,Volume
104.124962,100.50,49841600
105.750076,101.624962,71544000
105.750076,99.124962,114208000
109.249924,101.50,72801600
112.00,108.687523,36216000
115.00,109.875038,47590400
115.249924,106.375038,103491200
115.50,108.124962,46486400
116.750076,113.00,15713600
118.50,115.750076,18348800
119.375038,115.750076,15969600
119.750076,116.750076,23678400
119.437439,114.187523,33620800
123.00,117.750076,25552000
126.375038,120.249924,57985600
124.062561,115.249924,60171200
116.50,112.562561,33731200
118.875038,114.00,27179200
117.750076,113.687523,26433600
118.375038,114.50,26564800
117.249924,114.249924,22596800
120.375038,116.50,23513600
122.00,119.249924,15729600
119.375038,116.750076,20518400
121.624962,118.00,35766400
119.50,116.562561,38995200
119.375038,115.249924,75300800
112.750076,109.312477,67828800
117.750076,111.124962,78507200
116.00,111.062561,82996800
124.624962,117.124962,57531200
129.00,122.00,51115200
128.875046,120.624962,67028800
125.50,120.124962,93952000
129.624954,117.00,146963200
118.624962,115.812477,40574400
118.249924,111.624962,77942400
116.624962,108.812477,114054400
114.750076,106.00,176787200
98.750076,93.875038,93374400
98.50,91.750076,81860800
103.750076,98.50,47131200
105.750076,101.00,58545600
104.562561,98.50,64988800
97.812477,90.875038,39004800
94.124962,91.750076,19136000
94.249924,91.124962,30766400
92.187523,88.750076,28928000
90.50,87.343681,27820800
89.937439,87.375038,38163200
87.00,82.750076,28342400
83.812477,82.375038,10816000
84.937439,82.750076,18041600
87.437439,83.875038,33745600
86.875038,81.624962,41563200
85.249924,82.624962,14350400
86.50,84.50,24947200
85.00,81.50,31441600
85.00,81.249924,69780800
86.750076,83.00,66195200
92.375038,84.312477,105219200
88.50,81.624962,66227200
81.750076,75.750076,52110400
75.624962,68.750076,53112000
72.50,70.750076,22900800
74.00,70.750076,22182400
74.937439,71.750076,32520000
74.249924,67.750076,99968000
68.50,61.75008,39760000
62.24992,60.875038,20102400
63.875038,61.124962,14260800
64.624962,62.937439,11187200
64.750076,61.624962,12539200
65.624962,63.24992,13486400
64.750076,62.624962,11323200
65.00,63.50,11427200
66.750076,64.375038,13256000
65.249924,63.75008,9059200
65.750076,64.00,11950400
65.50,63.00,20785600
65.249924,63.00,16547200
64.624962,61.624962,14387200
64.875038,61.624962,18446400
64.624962,63.187519,13721600
66.124962,63.875038,33953600
66.124962,63.875038,24558400
64.50,61.24992,32681600
62.24992,57.624962,33180800
60.624962,57.812481,29641600
61.24992,60.00,15113600
62.50,59.50,10534400
62.937439,61.124962,10700800
64.00,62.24992,11137600
64.50,62.875038,18336000
65.249924,63.00,35096000
67.50,65.00,18288000
66.750076,64.00,27916800
67.875038,66.00,26678400
68.249924,64.562561,52755200
64.124962,59.00,38262400
65.249924,60.75008,30296000
65.968643,62.75008,21748800
64.875038,62.75008,15758400
65.124962,61.24992,28688000
65.375038,62.624962,26601600
69.50,65.00,17828800
70.875038,69.124962,15467200
71.00,68.00,16508800
69.00,66.375038,15100800
66.375038,64.249924,9587200
66.00,64.50,6185600
67.875038,63.624962,22833600
65.375038,61.875038,23824000
63.00,56.24992,29721600
59.50,57.24992,12747200
61.50,59.50,10875200
60.50,57.124962,13553600
60.24992,56.50,14430400
60.00,57.00,14584000
58.875038,56.375038,17451200
59.375038,57.00,14763200
61.00,58.00,27473600
59.75008,55.624962,30825600
56.375038,52.624962,25928000
55.00,53.375038,10012800
54.24992,51.875038,9440000
54.875038,52.00,15512000
54.375038,51.24992,16558400
51.50,50.75008,2153600
52.24992,50.24992,8777600
51.75008,48.00,29675200
52.50,48.124962,20104000
54.50,51.624962,12600000
54.124962,50.875038,24377600
51.624962,49.562561,13123200
54.24992,51.375038,22524800
52.75008,49.624962,25088000
49.124962,46.00,24700800
46.50,42.00,29244800
47.375038,42.875038,25264000
49.50,45.50,20819200
51.00,48.00,13699200
51.75008,48.75008,23028800
55.75008,52.24992,29057600
54.50,50.875038,39339200
51.375038,44.50,25473600
46.50,44.75008,13121600
44.24992,42.50,14144000
43.24992,39.24992,17641600
46.24992,40.375038,30163200
46.75008,34.124962,51822400
47.00,38.00,35051200
51.75008,46.50,15764800
51.75008,49.24992,15209600
53.375038,50.624962,14001600
51.375038,49.624962,13385600
49.24992,46.875038,20217600
49.00,45.50,24849600
53.124962,48.24992,21169600
51.75008,50.24992,11564800
52.624962,49.50,14172800
53.24992,50.24992,18051200
55.50,52.75008,18844800
56.375038,54.75008,33960000
58.00,56.00,32020800
58.124962,55.124962,15825600
58.624962,55.24992,15339200
56.24992,53.75008,19518400
55.00,50.124962,22676800
51.624962,50.124962,14475200
50.624962,49.75008,3744000
51.00,49.375038,6649600
51.75008,50.00,10222400
52.00,48.75008,14795200
53.124962,50.875038,12670400
55.00,50.124962,14896000
55.375038,52.00,17758400
52.624962,49.24992,24308800
50.24992,48.375038,12360000
51.875038,47.375038,20712000
51.124962,45.24992,37563200
53.75008,48.00,31624000
58.00,52.75008,22862400
56.75008,52.50,33902400
54.00,50.375038,23131200
50.375038,48.00,17556800
49.124962,46.75008,21164800
45.75008,42.00,16643200
42.375038,40.624962,9294400
41.875038,39.875038,11555200
40.75008,39.124962,10619200
59.874962,56.25,13696000
57.687601,53.500082,24696000
56.375038,54.75,11371200
56.749918,55.50,6016000
57.250082,55.87488,10302400
56.124962,53.124962,12489600
57.75,55.249918,10432000
57.75,54.250082,21724800
55.999918,52.50,20222400
52.50,48.250082,18100800
49.750082,48.499918,9004800
51.00,49.374962,5505600
52.50,49.625038,18326400
54.250082,50.62512,10715200
54.00,51.75,18528000
54.624962,51.250082,13401600
56.124962,53.749918,8430400
55.999918,54.00,7033600
55.50,53.25,11304000
54.75,53.124962,12841600
55.999918,53.375038,19910400
56.500082,52.374962,33768000
55.000082,49.625038,47521600
48.250082,46.999921,4523200
49.000082,47.500079,3806400
48.125038,46.187519,9232000
49.50,46.750079,15115200
50.749918,49.12512,7364800
51.125038,48.250082,11822400
49.999918,46.999921,11200000
48.37488,44.874959,12059200
49.12512,46.50,12688000
51.250082,49.000082,11449600
50.749918,47.749921,33832000
48.499918,43.87488,24980800
45.125041,42.250079,15331200
46.12512,41.749921,44035200
45.125041,40.750079,37545600
40.000079,37.625041,17337600
37.750079,33.875041,14356800
34.50,33.499921,4416000
34.50,33.499921,5891200
35.25,33.75,4000000
35.500079,32.43744,14171200
36.875041,34.249921,8419200
36.75,35.749921,5118400
38.500079,37.000079,6720000
37.87488,36.250079,6438400
38.62512,35.874959,17841600
39.37488,34.750079,22753600
35.25,33.75,5457600
35.375041,33.75,8027200
35.124959,33.875041,5377600
35.25,32.375041,15921600
33.00,31.999921,3307200
32.124959,31.062481,5771200
32.500079,30.875041,17387200
33.125041,31.999921,5601600
34.000079,31.999921,6096000
33.00,31.50,6145600
32.62512,31.999921,2003200
33.00,31.12512,2668800
33.250079,31.937519,2300800
33.499921,32.500079,3259200
33.499921,30.875041,9692800
32.500079,31.249921,5289600
33.37488,31.249921,5318400
32.375041,31.000079,2836800
31.999921,31.12512,2622400
33.250079,30.875041,5865600
34.12512,32.124959,14593600
32.500079,31.750079,6846400
32.312399,31.374959,6510400
32.375041,30.37488,12323200
31.12512,30.125041,11044800
31.750079,30.00,14406400
32.749921,29.874959,25048000
34.000079,31.999921,9524800
34.87488,33.687601,9508800
35.500079,33.75,7969600
34.750079,32.500079,16603200
35.500079,31.999921,19278400
37.000079,34.999921,16374400
35.500079,33.75,13300800
34.50,32.62512,9956800
34.625041,31.374959,23041600
31.999921,30.75,20836800
32.874959,30.00,12057600
30.624959,30.250079,6452800
31.374959,29.749921,17889600
31.374959,27.624959,13531200
28.12512,24.75,27371200
31.000079,26.749921,12880000
33.37488,30.75,10238400
33.624959,31.249921,10315200
32.375041,30.499921,16086400
34.12512,31.000079,14208000
34.374959,32.375041,10651200
34.50,30.875041,21049600
34.999921,31.374959,34768000
36.00,34.374959,25516800
33.75,31.999921,10574400
34.249921,31.750079,23224000
32.375041,29.124959,17539200
30.75,28.062481,9009600
30.00,28.50,7403200
29.500079,27.75,6278400
28.87488,27.00,5640000
30.00,28.249921,7811200
30.00,27.624959,10580800
30.125041,27.00,10316800
30.00,27.250079,14780800
30.624959,26.500079,27048000
29.500079,27.00,29731200
25.374959,22.62504,21164800
24.125041,22.000081,11500800
26.375041,22.50,24931200
25.374959,22.37496,11526400
25.625041,22.750081,13540800
26.749921,25.000079,7958400
27.37488,25.999921,7019200
27.250079,26.500079,3513600
27.37488,26.124959,6217600
27.250079,25.50,12792000
28.750079,26.62512,12091200
30.125041,28.625041,7508800
31.87488,29.749921,10776000
30.875041,29.62512,8812800
31.625041,30.499921,4944000
32.375041,30.75,12100800
34.000079,31.000079,13734400
33.00,30.37488,9985600
32.124959,30.75,6304000
33.00,31.249921,7259200
34.000079,32.25,9553600
34.50,31.625041,10705600
35.749921,33.37488,10555200
36.125041,34.50,17510400
36.250079,31.50,28483200
31.374959,29.25,12691200
30.37488,28.750079,9270400
31.750079,29.749921,18787200
34.12512,31.87488,11481600
34.999921,33.125041,7427200
36.250079,34.000079,13686400
34.999921,33.499921,16043200
35.124959,33.75,6904000
35.375041,32.500079,21408000
33.75,31.87488,17718400
36.624959,31.625041,27313600
37.374959,33.125041,41558400
34.999921,31.999921,28099200
35.25,32.124959,28028800
33.250079,31.000079,29809600
32.25,28.625041,30428800
31.249921,26.500079,36244800
26.874959,24.875041,24388800
27.00,24.75,20267200
25.999921,22.87488,50636800
21.87504,20.87496,5376000
22.12512,19.750081,18164800
19.249919,19.000081,2577600
19.750081,18.87504,4907200
20.37504,18.75,2924800
20.500081,19.4376,5008000
19.87488,19.000081,6640000
18.75,17.51568,2180800
17.500081,16.750081,2579200
17.62512,16.750081,3923200
18.250081,17.749919,1396800
18.75,17.87496,1806400
18.250081,17.87496,1513600
18.12504,17.749919,715200
18.499919,17.37504,3619200
18.12504,16.999919,4926400
18.62496,17.87496,2049600
19.37496,17.87496,5496000
18.75,17.87496,1732800
20.25,18.62496,1886400
20.25,19.50,1353600
20.12496,19.000081,2851200
19.87488,19.12512,2592000
21.37488,20.25,2521600
21.37488,20.25,3827200
21.75,19.87488,5596800
22.12512,19.750081,8190400
20.37504,19.750081,1633600
20.62512,18.75,9120000
19.12512,18.75,1081600
19.12512,18.499919,803200
19.000081,18.499919,1057600
19.750081,18.87504,3419200
19.249919,17.37504,6734400
17.62512,17.25,1124800
17.749919,17.25,1588800
18.12504,17.62512,1022400
18.12504,17.749919,2137600
18.499919,17.87496,1729600
18.62496,18.250081,1192000
19.000081,18.12504,1681600
19.750081,18.62496,1340800
20.12496,19.62504,712000
20.25,19.50,2348800
19.50,18.12504,2179200
18.37488,17.87496,932800
18.499919,17.87496,1656000
19.249919,17.62512,2982400
19.750081,19.000081,995200
19.750081,19.50,340800
20.25,19.50,1646400
20.62512,20.12496,969600
20.749919,20.500081,625600
20.749919,20.500081,558400
21.00,20.500081,1984000
21.12504,20.87496,1244800
21.499919,21.00,1492800
22.12512,21.250081,1868800
22.249919,21.75,2232000
22.249919,21.75,2582400
22.12512,21.12504,3504000
21.62496,21.00,2702400
21.75,21.00,3884800
21.62496,20.62512,6452800
20.87496,20.37504,2382400
22.87488,20.37504,8673600
22.50,20.87496,2366400
22.62504,20.87496,2299200
22.62504,22.000081,715200
23.25,22.000081,2046400
23.500081,22.000081,4324800
22.62504,20.37504,5827200
21.250081,19.12512,4105600
21.75,21.250081,849600
22.12512,21.499919,688000
22.12512,21.62496,1067200
22.62504,21.62496,2040000
23.87496,22.50,3774400
24.624959,23.749919,5332800
24.00,21.37488,7460800
21.499919,20.500081,1761600
21.62496,20.37504,1977600
21.62496,20.749919,2665600
21.00,20.500081,1382400
20.87496,19.750081,3193600
19.50,18.75,1374400
19.000081,18.499919,1267200
19.12512,18.499919,907200
18.87504,18.12504,835200
18.62496,18.12504,753600
18.62496,18.37488,148800
19.249919,18.62496,528000
19.37496,18.75,1012800
20.12496,19.37496,913600
21.12504,19.750081,1987200
22.12512,20.12496,5193600
20.37504,19.750081,1897600
20.12496,19.750081,388800
20.25,19.750081,1024000
19.999919,18.250081,1921600
19.249919,18.250081,688000
19.62504,19.12512,494400
19.62504,19.37496,428800
19.87488,19.12512,864000
20.37504,19.62504,1177600
20.62512,19.999919,4852800
20.500081,16.999919,10464000
17.500081,16.999919,864000
17.749919,16.50,1833600
18.499919,17.749919,1748800
18.250081,17.749919,971200
19.249919,18.12504,817600
19.37496,18.87504,510400
19.249919,18.499919,1168000
19.000081,17.500081,1388800
18.00,16.999919,931200
17.500081,16.249919,686400
16.62504,16.12512,371200
16.62504,15.75,600000
16.750081,15.75,1283200
16.37496,15.499919,888000
18.00,16.249919,1881600
19.000081,17.500081,1132800
19.87488,18.75,1235200
19.87488,18.75,1608000
19.249919,17.749919,1849600
18.499919,17.37504,3726400
18.499919,17.500081,1900800
18.00,16.999919,1696000
17.25,15.499919,3510400
18.75,16.000081,5899200
19.999919,18.499919,2112000
19.999919,19.249919,1211200
20.62512,19.750081,748800
21.75,20.500081,1384000
22.249919,21.250081,984000
22.249919,20.500081,2286400
21.00,19.000081,4067200
22.000081,18.250081,7392000
22.000081,20.749919,1488000
22.249919,21.499919,993600
22.249919,21.75,633600
22.750081,21.75,2544000
21.75,20.500081,2958400
21.499919,20.500081,4033600
22.249919,20.500081,5564800
25.000079,22.50,3249600
25.50,24.75,2046400
26.25,24.499921,5668800
26.749921,25.750079,2608000
26.500079,25.50,4243200
26.874959,26.124959,1849600
27.250079,26.500079,3457600
28.750079,27.499921,3873600
27.499921,27.00,1166400
28.000079,27.125041,2468800
28.000079,27.250079,1142400
28.750079,27.250079,1734400
28.999921,27.499921,3038400
28.750079,27.00,3726400
29.62512,28.50,2224000
30.00,28.750079,2491200
29.500079,27.499921,2918400
28.000079,27.00,2563200
29.124959,27.75,4048000
30.37488,28.999921,4257600
30.499921,29.749921,2448000
30.499921,29.749921,3390400
30.75,29.749921,2200000
31.000079,29.500079,4003200
31.50,30.00,2747200
31.750079,30.499921,5875200
30.75,29.749921,4032000
30.75,29.124959,6288000
30.75,29.749921,5569600
32.500079,29.375041,8214400
32.500079,31.249921,6116800
33.250079,31.50,9731200
31.750079,30.00,4881600
31.50,29.500079,5003200
31.999921,30.499921,5928000
32.25,31.249921,7561600
32.25,28.999921,19478400
29.124959,27.75,7795200
28.999921,28.000079,4297600
28.999921,27.499921,8041600
30.75,28.750079,12913600
30.125041,28.000079,27268800
28.249921,24.75,42816000
32.25,28.000079,48016000
36.00,30.00,79219200
43.000079,24.499921,408720000
